x坐标, y坐标
597.5,-8.00E-05
598,1.00E-05
598.5,0.00012
599,-0.0001
599.5,-0.0001
600,-3.00E-05
600.5,-0.00023
601,-7.00E-05
601.5,-0.00014
602,-0.00076
602.5,-0.00088
603,-0.00053
603.5,-0.00039
604,-0.00032
604.5,-5.00E-05
605,-0.00063
605.5,-0.0008
606,-0.00101
606.5,-0.00076
607,-0.00032
607.5,0.0004
608,0.00042
608.5,0.00053
609,0.00025
609.5,-0.00019
610,-7.00E-05
610.5,0.0003
611,0.00014
611.5,-0.00019
612,-0.00051
612.5,-0.0005
613,-0.00016
613.5,-6.00E-05
614,-0.00026
614.5,-0.00054
615,-0.00083
615.5,-0.00058
616,-4.00E-05
616.5,0.0004
617,0.00106
617.5,0.00094
618,0.00103
618.5,0.00099
619,0.00091
619.5,0.00075
620,0.0006
620.5,0.00025
621,9.00E-05
621.5,0.00025
622,0.00016
622.5,0.00029
623,0.00053
623.5,0.00098
624,0.00129
624.5,0.00146
625,0.00127
625.5,0.00128
626,0.00143
626.5,0.00095
627,0.00074
627.5,0.00019
628,-0.00015
628.5,-8.00E-05
629,-9.00E-05
629.5,-0.00024
630,-0.00048
630.5,-0.00067
631,-0.00069
631.5,-0.00054
632,-0.00064
632.5,-0.0003
633,-0.00023
633.5,-0.00047
634,-0.00082
634.5,-0.00104
635,-0.00131
635.5,-0.00085
636,-0.00065
636.5,-0.00042
637,-0.00065
637.5,-0.00042
638,0.00014
638.5,0.00054
639,0.00101
639.5,0.00114
640,0.00069
640.5,0.00028
641,0.0005
641.5,0.00044
642,0.00096
642.5,0.00116
643,0.00128
643.5,0.00144
644,0.00073
644.5,0.00028
645,2.00E-05
645.5,-0.00017
646,-4.00E-05
646.5,6.00E-05
647,9.00E-05
647.5,-0.00034
648,-0.00021
648.5,-7.00E-05
649,7.00E-05
649.5,9.00E-05
650,-0.00028
650.5,-0.00072
651,-0.00062
651.5,-0.00093
652,-0.0008
652.5,-0.00085
653,-0.00076
653.5,-0.00093
654,-0.00086
654.5,-0.00067
655,-0.00031
655.5,-0.00036
656,-0.00013
656.5,-0.00053
657,-0.00046
657.5,-0.00038
658,-0.00039
658.5,-0.00011
659,0.00039
659.5,0.00068
660,0.00078
660.5,0.00059
661,0.00067
661.5,0.00061
662,0.0003
662.5,0.00055
663,0.00064
663.5,0.00105
664,0.00143
664.5,0.00159
665,0.00185
665.5,0.00185
666,0.00209
666.5,0.00182
667,0.0017
667.5,0.00153
668,0.00163
668.5,0.0014
669,0.00128
669.5,0.00114
670,0.00139
670.5,0.00099
671,0.00106
671.5,0.00088
672,0.00076
672.5,0.00074
673,0.00064
673.5,0.00039
674,0.00037
674.5,7.00E-05
675,4.00E-05
675.5,-0.00015
676,-0.00012
676.5,-0.00016
677,-5.00E-05
677.5,0.00024
678,0.00028
678.5,2.00E-05
679,-0.00042
679.5,-0.00097
680,-0.00098
680.5,-0.00078
681,-0.0006
681.5,-0.00021
682,-0.00035
682.5,-0.00036
683,-0.00044
683.5,-0.00031
684,-0.00073
684.5,-0.0004
685,-0.00045
685.5,2.00E-05
686,0.00039
686.5,0.00037
687,0.00056
687.5,0.00048
688,9.00E-05
688.5,-0.00027
689,-0.0002
689.5,-0.00022
690,-0.00035
690.5,-0.00027
691,-0.00051
691.5,-0.00052
692,-0.00057
692.5,-0.00061
693,-0.00067
693.5,-0.00024
694,-8.00E-05
694.5,0
695,-3.00E-05
695.5,-5.00E-05
696,-0.00026
696.5,-0.00019
697,-0.0001
697.5,0.00032
698,0.00066
698.5,0.00075
699,0.00064
699.5,0.00046
700,0.00031
700.5,5.00E-05
701,3.00E-05
701.5,0.00015
702,9.00E-05
702.5,0.00032
703,0.00028
703.5,0.00052
704,0.00035
704.5,0.0004
705,0.00015
705.5,0.0002
706,-0.00033
706.5,-0.00037
707,-0.00033
707.5,-0.00031
708,-0.00056
708.5,-0.00103
709,-0.00109
709.5,-0.0012
710,-0.00146
710.5,-0.00136
711,-0.00149
711.5,-0.00158
712,-0.00178
712.5,-0.00159
713,-0.00138
713.5,-0.00069
714,-0.00052
714.5,-0.00033
715,-0.00021
715.5,-0.0002
716,-0.00048
716.5,-0.00056
717,-0.00091
717.5,-0.00099
718,-0.00118
718.5,-0.00147
719,-0.00152
719.5,-0.00152
720,-0.0022
720.5,-0.00244
721,-0.00274
721.5,-0.00293
722,-0.00279
722.5,-0.00227
723,-0.00234
723.5,-0.00228
724,-0.00249
724.5,-0.00266
725,-0.0028
725.5,-0.00237
726,-0.00215
726.5,-0.00224
727,-0.00209
727.5,-0.00244
728,-0.00237
728.5,-0.00227
729,-0.00237
729.5,-0.00229
730,-0.00164
730.5,-0.00146
731,-0.00168
731.5,-0.00194
732,-0.0018
732.5,-0.00155
733,-0.00145
733.5,-0.00167
734,-0.00178
734.5,-0.00237
735,-0.00224
735.5,-0.00198
736,-0.00208
736.5,-0.00179
737,-0.00185
737.5,-0.00169
738,-0.00189
738.5,-0.00198
739,-0.00184
739.5,-0.00167
740,-0.00163
740.5,-0.00172
741,-0.00232
741.5,-0.00246
742,-0.00195
742.5,-0.00183
743,-0.00167
743.5,-0.00166
744,-0.00179
744.5,-0.00213
745,-0.00186
745.5,-0.00167
746,-0.00165
746.5,-0.00164
747,-0.00153
747.5,-0.00152
748,-0.00145
748.5,-0.00117
749,-0.00094
749.5,-0.00128
750,-0.00119
750.5,-0.00141
751,-0.00142
751.5,-0.00111
752,-0.00092
752.5,-0.0007
753,-0.00047
753.5,-0.00072
754,-0.00056
754.5,-0.00033
755,0
755.5,0.0003
756,0.00057
756.5,0.00059
757,0.00054
757.5,0.00101
758,0.00115
758.5,0.00117
759,0.00104
759.5,0.00124
760,0.00096
760.5,0.00111
761,0.00136
761.5,0.00122
762,0.00113
762.5,0.00129
763,0.00085
763.5,0.00045
764,0.00075
764.5,0.00097
765,0.00116
765.5,0.00117
766,0.00104
766.5,0.00134
767,0.00094
767.5,0.0008
768,0.00084
768.5,0.00075
769,0.00064
769.5,0.00097
770,0.00122
770.5,0.00122
771,0.00096
771.5,0.00045
772,0.0006
772.5,3.00E-05
773,-0.00012
773.5,-0.0005
774,-0.00067
774.5,-0.00072
775,-0.00052
775.5,-0.00104
776,-0.0011
776.5,-0.00178
777,-0.0019
777.5,-0.00169
778,-0.00129
778.5,-0.00114
779,-0.00129
779.5,-0.00141
780,-0.00196
780.5,-0.0022
781,-0.00213
781.5,-0.002
782,-0.00168
782.5,-0.00142
783,-0.00155
783.5,-0.00098
784,-0.00125
784.5,-0.00122
785,-0.001
785.5,-0.00086
786,-0.00091
786.5,-0.00105
787,-0.001
787.5,-0.00147
788,-0.00151
788.5,-0.0019
789,-0.0021
789.5,-0.00193
790,-0.00226
790.5,-0.00255
791,-0.00269
791.5,-0.00241
792,-0.00257
792.5,-0.00271
793,-0.00245
793.5,-0.00248
794,-0.00221
794.5,-0.00232
795,-0.0025
795.5,-0.00253
796,-0.00302
796.5,-0.00325
797,-0.00338
797.5,-0.00324
798,-0.00266
798.5,-0.00244
799,-0.00268
799.5,-0.00269
800,-0.0029
800.5,-0.00266
801,-0.00232
801.5,-0.00242
802,-0.00235
802.5,-0.00218
803,-0.00223
803.5,-0.00183
804,-0.00149
804.5,-0.00145
805,-0.00167
805.5,-0.00158
806,-0.00167
806.5,-0.00144
807,-0.00129
807.5,-0.00089
808,-0.0011
808.5,-0.00074
809,-0.0005
809.5,-0.0005
810,4.00E-05
810.5,-0.00013
811,-0.00058
